region;academie;Région académique
Provence-Alpes-Côte d'Azur;Aix-Marseille;Région académique Provence-Alpes-Côte d'Azur
Hauts-de-France;Amiens;Région académique Hauts-de-France
Bourgogne-Franche-Comté;Besançon;Région académique Bourgogne-Franche-Comté
Nouvelle-Aquitaine;Bordeaux;Région académique Nouvelle-Aquitaine
Auvergne-Rhône-Alpes;Clermont-Ferrand;Région académique Auvergne-Rhône-Alpes
Corse;Corse;Région académique de Corse
Île-de-France;Créteil;Région académique Île-de-France
Bourgogne-Franche-Comté;Dijon;Région académique Bourgogne-Franche-Comté
Auvergne-Rhône-Alpes;Grenoble;Région académique Auvergne-Rhône-Alpes
Guadeloupe;Guadeloupe;Région académique de la Guadeloupe
Guyane;Guyane;Région académique de la Guyane
La Réunion;La Réunion;Région académique de La Réunion
Hauts-de-France;Lille;Région académique Hauts-de-France
Nouvelle-Aquitaine;Limoges;Région académique Nouvelle-Aquitaine
Auvergne-Rhône-Alpes;Lyon;Région académique Auvergne-Rhône-Alpes
Martinique;Martinique;Région académique de la Martinique
Mayotte;Mayotte;Région académique de Mayotte
Occitanie;Montpellier;Région académique Occitanie
Grand Est;Nancy-Metz;Région académique Grand Est
Pays de la Loire;Nantes;Région académique Pays de la Loire
Provence-Alpes-Côte d'Azur;Nice;Région académique Provence-Alpes-Côte d'Azur
Normandie;Normandie;Région académique Normandie
Collectivités d'outre-mer;Nouvelle-Calédonie;
Centre-Val de Loire;Orléans-Tours;Région académique Centre-Val de Loire
Île-de-France;Paris;Région académique Île-de-France
Nouvelle-Aquitaine;Poitiers;Région académique Nouvelle-Aquitaine
Collectivités d'outre-mer;Polynésie Française;
Grand Est;Reims;Région académique Grand Est
Bretagne;Rennes;Région académique Bretagne
Grand Est;Strasbourg;Région académique Grand Est
Occitanie;Toulouse;Région académique Occitanie
Île-de-France;Versailles;Région académique Île-de-France
Collectivités d'outre-mer;Wallis et Futuna;
