,annee,diplome,numero_de_l_etablissement,etablissement,academie,code_du_domaine,domaine,discipline,situation,nombre_de_reponses,taux_de_reponse,poids_de_la_discipline,taux_dinsertion,emplois_cadre_ou_professions_intermediaires,emplois_stables,emplois_a_temps_plein,salaire_net_median_des_emplois_a_temps_plein,salaire_brut_annuel_estime,de_diplomes_boursiers,taux_de_chomage_regional,salaire_net_mensuel_median_regional,emplois_cadre,emplois_exterieurs_a_la_region_de_luniversite,femmes,salaire_net_mensuel_regional_1er_quartile,salaire_net_mensuel_regional_3eme_quartile,id_paysage
406,2012,MASTER LMD,0060931E,Nice - Sophia-Antipolis,Nice,SHS,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,74.0,62.0,14,79.0,78.0,36.0,70.0,1450.0,22600.0,29.0,11.7,1790.0,60.0,37.0,77.0,1390.0,2170.0,7CYWd
407,2012,MASTER LMD,0060931E,Nice - Sophia-Antipolis,Nice,STS,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,183.0,69.0,32,84.0,93.0,77.0,96.0,2000.0,31200.0,29.0,11.7,1790.0,74.0,39.0,40.0,1390.0,2170.0,7CYWd
410,2012,MASTER ENS,0134009M,Aix-Marseille,Aix-Marseille,MEEF,Masters enseignement,Masters enseignement,30 mois après le diplôme,179.0,79.0,100,94.0,89.0,84.0,89.0,1750.0,27300.0,34.0,11.7,1790.0,77.0,37.0,83.0,1390.0,2170.0,xJdyB
411,2012,MASTER LMD,0134009M,Aix-Marseille,Aix-Marseille,SHS,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,256.0,74.0,18,81.0,79.0,50.0,80.0,1590.0,24800.0,29.0,11.7,1790.0,47.0,43.0,66.0,1390.0,2170.0,xJdyB
412,2012,MASTER LMD,0134009M,Aix-Marseille,Aix-Marseille,STS,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,129.0,74.0,9,80.0,87.0,59.0,93.0,1730.0,27000.0,29.0,11.7,1790.0,56.0,49.0,55.0,1390.0,2170.0,xJdyB
413,2012,MASTER LMD,0134009M,Aix-Marseille,Aix-Marseille,STS,"Sciences, technologies et santé",Sciences fondamentales,30 mois après le diplôme,86.0,77.0,6,91.0,99.0,79.0,96.0,2000.0,31200.0,29.0,11.7,1790.0,76.0,33.0,43.0,1390.0,2170.0,xJdyB
414,2012,MASTER LMD,0134009M,Aix-Marseille,Aix-Marseille,STS,"Sciences, technologies et santé",Informatique,18 mois après le diplôme,38.0,84.0,3,87.0,100.0,97.0,100.0,,,29.0,11.7,1790.0,94.0,21.0,10.0,1390.0,2170.0,xJdyB
416,2012,MASTER LMD,0141408E,Caen Normandie,Normandie,DEG,"Droit, économie et gestion",Gestion,30 mois après le diplôme,156.0,74.0,31,90.0,81.0,81.0,96.0,2000.0,31200.0,26.0,9.3,1720.0,57.0,56.0,66.0,1400.0,2010.0,p25Q3
417,2012,MASTER LMD,0141408E,Caen Normandie,Normandie,DEG,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",18 mois après le diplôme,55.0,80.0,11,88.0,87.0,70.0,96.0,2080.0,32400.0,26.0,9.3,1720.0,58.0,88.0,48.0,1400.0,2010.0,p25Q3
419,2012,MASTER LMD,0141408E,Caen Normandie,Normandie,SHS,Sciences humaines et sociales,Histoire-géographie,30 mois après le diplôme,48.0,79.0,9,79.0,79.0,47.0,92.0,1630.0,25500.0,26.0,9.3,1720.0,38.0,60.0,58.0,1400.0,2010.0,p25Q3
421,2012,MASTER LMD,0141408E,Caen Normandie,Normandie,STS,"Sciences, technologies et santé","Autres sciences, technologies et santé",30 mois après le diplôme,31.0,77.0,6,100.0,,87.0,84.0,,,26.0,9.3,1720.0,,67.0,22.0,1400.0,2010.0,p25Q3
424,2012,MASTER LMD,0171463Y,La Rochelle,Poitiers,STS,"Sciences, technologies et santé",Sciences de l'ingénieur,30 mois après le diplôme,72.0,82.0,30,94.0,95.0,93.0,100.0,2000.0,31200.0,50.0,9.6,1710.0,78.0,87.0,6.0,1380.0,1980.0,atbEK
427,2012,MASTER LMD,0211237F,Dijon - Bourgogne,Dijon,DEG,"Droit, économie et gestion",Gestion,18 mois après le diplôme,100.0,59.0,21,95.0,72.0,72.0,99.0,1720.0,26800.0,47.0,9.3,1750.0,45.0,55.0,54.0,1410.0,2030.0,Lr94O
428,2012,MASTER LMD,0211237F,Dijon - Bourgogne,Dijon,DEG,"Droit, économie et gestion",Gestion,30 mois après le diplôme,100.0,59.0,21,93.0,76.0,88.0,100.0,1990.0,31000.0,47.0,9.3,1750.0,47.0,55.0,54.0,1410.0,2030.0,Lr94O
431,2012,MASTER LMD,0251215K,Besançon - Franche-Comté,Besançon,DEG,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,90.0,84.0,24,90.0,73.0,70.0,98.0,1650.0,25700.0,32.0,9.6,1760.0,32.0,46.0,55.0,1420.0,2060.0,7Mpgt
436,2012,MASTER ENS,0290346U,Brest - Bretagne occidentale,Rennes,MEEF,Masters enseignement,Masters enseignement,18 mois après le diplôme,181.0,77.0,100,95.0,78.0,70.0,82.0,1650.0,25700.0,51.0,9.0,1700.0,68.0,37.0,87.0,1380.0,2020.0,06SE7
437,2012,MASTER LMD,0290346U,Brest - Bretagne occidentale,Rennes,DEG,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",18 mois après le diplôme,127.0,76.0,36,89.0,64.0,51.0,91.0,1500.0,23400.0,37.0,9.0,1700.0,28.0,40.0,66.0,1380.0,2020.0,06SE7
438,2012,MASTER LMD,0290346U,Brest - Bretagne occidentale,Rennes,DEG,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,127.0,76.0,36,95.0,70.0,61.0,95.0,1600.0,25000.0,37.0,9.0,1700.0,37.0,40.0,66.0,1380.0,2020.0,06SE7
439,2012,MASTER LMD,0290346U,Brest - Bretagne occidentale,Rennes,DEG,"Droit, économie et gestion",Droit,18 mois après le diplôme,41.0,72.0,12,93.0,62.0,41.0,84.0,,,37.0,9.0,1700.0,27.0,34.0,70.0,1380.0,2020.0,06SE7
441,2012,MASTER LMD,0290346U,Brest - Bretagne occidentale,Rennes,LLA,"Lettres, langues, arts","Lettres, langues, arts",18 mois après le diplôme,79.0,77.0,22,75.0,55.0,59.0,74.0,1350.0,21100.0,37.0,9.0,1700.0,24.0,64.0,82.0,1380.0,2020.0,06SE7
449,2012,MASTER LMD,0311382J,Toulouse 1 - Capitole,Toulouse,DEG,"Droit, économie et gestion",Gestion,18 mois après le diplôme,274.0,76.0,55,85.0,78.0,69.0,96.0,1840.0,28700.0,26.0,10.5,1760.0,51.0,49.0,54.0,1420.0,2090.0,542Id
450,2012,MASTER ENS,0311383K,Toulouse - Jean Jaures,Toulouse,MEEF,Masters enseignement,Masters enseignement,18 mois après le diplôme,144.0,65.0,100,95.0,98.0,87.0,91.0,1700.0,26500.0,41.0,10.5,1760.0,90.0,40.0,81.0,1420.0,2090.0,HqAYu
451,2012,MASTER LMD,0311383K,Toulouse - Jean Jaures,Toulouse,DEG,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,39.0,74.0,12,87.0,69.0,74.0,88.0,,,37.0,10.5,1760.0,37.0,45.0,74.0,1420.0,2090.0,HqAYu
453,2012,MASTER LMD,0311383K,Toulouse - Jean Jaures,Toulouse,SHS,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,189.0,75.0,56,75.0,73.0,44.0,63.0,1460.0,22800.0,37.0,10.5,1760.0,57.0,47.0,85.0,1420.0,2090.0,HqAYu
454,2012,MASTER LMD,0311383K,Toulouse - Jean Jaures,Toulouse,SHS,Sciences humaines et sociales,Histoire-géographie,30 mois après le diplôme,58.0,72.0,17,72.0,63.0,33.0,83.0,1500.0,23400.0,37.0,10.5,1760.0,34.0,40.0,69.0,1420.0,2090.0,HqAYu
459,2012,MASTER LMD,0311384L,Toulouse 3 - Paul Sabatier,Toulouse,SHS,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,44.0,80.0,7,89.0,95.0,90.0,97.0,2070.0,32200.0,40.0,10.5,1760.0,82.0,20.0,36.0,1420.0,2090.0,m7K6T
460,2012,MASTER LMD,0311384L,Toulouse 3 - Paul Sabatier,Toulouse,STS,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,533.0,87.0,84,90.0,96.0,78.0,97.0,1970.0,30800.0,40.0,10.5,1760.0,78.0,36.0,29.0,1420.0,2090.0,m7K6T
461,2012,MASTER LMD,0331766R,Bordeaux - Montaigne,Bordeaux,LLA,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,91.0,81.0,30,91.0,58.0,55.0,69.0,1510.0,23600.0,38.0,10.0,1710.0,40.0,50.0,80.0,1360.0,2030.0,Mz90U
463,2012,MASTER LMD,0331766R,Bordeaux - Montaigne,Bordeaux,SHS,Sciences humaines et sociales,Information communication,30 mois après le diplôme,88.0,80.0,30,85.0,78.0,52.0,93.0,1630.0,25400.0,38.0,10.0,1710.0,56.0,66.0,62.0,1360.0,2030.0,Mz90U
467,2012,MASTER ENS,0333298F,Bordeaux,Bordeaux,MEEF,Masters enseignement,Masters enseignement,18 mois après le diplôme,152.0,71.0,100,92.0,52.0,46.0,60.0,1690.0,26300.0,35.0,10.0,1710.0,43.0,47.0,89.0,1360.0,2030.0,90I54
468,2012,MASTER LMD,0333298F,Bordeaux,Bordeaux,DEG,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,351.0,76.0,41,91.0,84.0,83.0,98.0,1970.0,30700.0,28.0,10.0,1710.0,57.0,56.0,54.0,1360.0,2030.0,90I54
469,2012,MASTER LMD,0333298F,Bordeaux,Bordeaux,DEG,"Droit, économie et gestion",Économie,18 mois après le diplôme,80.0,76.0,9,72.0,91.0,67.0,100.0,1970.0,30700.0,28.0,10.0,1710.0,61.0,59.0,48.0,1360.0,2030.0,90I54
470,2012,MASTER LMD,0333298F,Bordeaux,Bordeaux,DEG,"Droit, économie et gestion",Économie,30 mois après le diplôme,80.0,76.0,9,86.0,85.0,77.0,97.0,1840.0,28700.0,28.0,10.0,1710.0,50.0,59.0,48.0,1360.0,2030.0,90I54
471,2012,MASTER LMD,0333298F,Bordeaux,Bordeaux,DEG,"Droit, économie et gestion",Gestion,30 mois après le diplôme,189.0,77.0,22,93.0,91.0,89.0,99.0,2020.0,31500.0,28.0,10.0,1710.0,65.0,60.0,46.0,1360.0,2030.0,90I54
473,2012,MASTER LMD,0341089Z,Montpellier 3 - Paul-Valéry,Montpellier,DEG,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",18 mois après le diplôme,44.0,79.0,12,83.0,65.0,38.0,94.0,,,50.0,14.3,1680.0,26.0,50.0,77.0,1310.0,2010.0,1I7hJ
474,2012,MASTER LMD,0341089Z,Montpellier 3 - Paul-Valéry,Montpellier,SHS,Sciences humaines et sociales,Autres sciences humaines et sociales,30 mois après le diplôme,91.0,67.0,28,79.0,72.0,49.0,88.0,1500.0,23400.0,50.0,14.3,1680.0,41.0,61.0,68.0,1310.0,2010.0,1I7hJ
